Area,Area code,Property: % Housing corporation,Property: % Private rent,OwnerOccupied,Municipality_residents,Safety index: registered crime index,Safety measures home (%),Safety neighbourhood (1-10),Neighbourhood clean (%),Neighbourhood dirty (%),Area: % green
Haarlemmerbuurt,AA,41.4,31.1,27.5,57.0,81.0,57.0,7.4,38.0,19.0,1.63
Jordaan,AB,36.6,39.0,24.5,51.0,123.0,58.0,7.6,38.0,20.0,0.78
Burgwallen-Nieuwe Zijde,AD,9.7,72.7,17.6,41.0,210.0,56.0,6.9,30.0,35.0,0.16
Burgwallen-Oude Zijde,AE,19.2,63.1,17.7,47.0,138.0,48.0,6.4,22.0,40.0,0.05
Nieuwmarkt/Lastage,AF,39.9,32.7,27.4,44.0,100.0,62.0,7.3,34.0,23.0,0.77
Grachtengordel-Zuid,AG,5.3,59.6,35.1,42.0,77.0,61.0,7.6,34.0,27.0,0.22
De Weteringschans,AH,11.4,53.9,34.7,58.0,87.0,54.0,7.6,43.0,16.0,5.01
Weesperbuurt/Plantage,AJ,29.0,37.6,33.3,47.0,129.0,67.0,7.5,44.0,19.0,6.18
Oostelijke Eilanden/Kadijken,AK,57.1,13.3,29.6,51.0,99.0,64.0,7.1,39.0,15.0,10.76
Spaarndammerbuurt/Zeeheldenbuurt,EB,61.3,16.6,22.1,46.0,110.0,48.0,7.4,39.0,11.0,33.72
Houthavens,EC,11.6,32.6,55.8,61.0,110.0,65.0,8.0,58.0,6.0,5.66
De Kolenkit,ED,58.0,23.0,19.0,51.0,103.0,47.0,6.7,34.0,24.0,16.41
Landlust,EE,42.0,30.2,27.8,46.0,128.0,56.0,6.8,25.0,22.0,9.36
Erasmuspark,EF,14.0,43.5,42.5,55.0,100.0,48.0,7.2,30.0,22.0,25.46
Staatsliedenbuurt,EH,46.4,25.3,28.3,41.0,88.0,54.0,7.1,28.0,23.0,3.31
Frederik Hendrikbuurt,EJ,36.1,34.0,29.9,62.0,114.0,57.0,7.4,40.0,16.0,6.69
Van Galenbuurt,EK,49.0,29.6,21.5,57.0,95.0,55.0,6.9,29.0,28.0,13.38
Geuzenbuurt,EL,19.7,47.4,33.0,55.0,125.0,56.0,7.1,26.0,27.0,7.13
Hoofdweg e.o.,EM,38.7,39.6,21.7,46.0,108.0,45.0,6.9,23.0,25.0,2.69
Chassébuurt,EN,40.9,33.3,25.8,52.0,85.0,52.0,7.1,20.0,27.0,1.74
Bellamybuurt,EP,36.0,40.8,23.2,57.0,115.0,44.0,7.4,31.0,20.0,2.63
Da Costabuurt,EQ,22.2,47.2,30.5,52.0,145.0,62.0,7.4,32.0,15.0,2.62
Westindische Buurt,ER,16.9,52.4,30.7,56.0,97.0,44.0,7.3,46.0,11.0,5.8
Van Lennepbuurt,ES,51.2,26.0,22.8,49.0,119.0,64.0,6.9,27.0,20.0,0.84
Overtoomse Sluis,ET,20.1,47.3,32.5,41.0,74.0,54.0,7.9,38.0,18.0,1.01
Helmersbuurt,EU,26.7,40.7,32.6,42.0,129.0,60.0,7.5,31.0,14.0,4.43
Slotermeer-Noordoost,FD,64.2,9.0,26.8,45.0,107.0,62.0,6.5,23.0,36.0,28.34
De Aker,FG,29.4,16.0,54.6,40.0,77.0,89.0,6.8,32.0,16.0,18.4
De Punt,FH,36.8,21.4,41.8,29.0,119.0,73.0,6.0,14.0,34.0,25.64
Osdorp-Midden,FJ,59.3,13.9,26.8,41.0,95.0,65.0,6.1,19.0,31.0,28.44
Osdorp-Oost,FK,54.5,18.5,27.0,44.0,110.0,75.0,6.4,27.0,30.0,25.41
Slotervaart-Noord,FL,44.2,24.0,31.8,31.0,91.0,74.0,6.7,29.0,22.0,30.97
Overtoomse Veld,FM,38.0,42.5,19.5,36.0,126.0,61.0,6.7,22.0,32.0,35.06
Slotervaart-Zuid,FN,68.9,12.7,18.4,46.0,97.0,71.0,6.8,21.0,30.0,22.62
Westlandgracht,FP,32.5,51.9,15.6,40.0,140.0,57.0,6.4,28.0,34.0,34.05
Sloten/Nieuw-Sloten,FQ,19.5,27.7,52.8,44.0,84.0,80.0,7.2,52.0,5.0,30.23
Hoofddorppleinbuurt,KA,12.5,51.8,35.7,43.0,90.0,54.0,7.4,38.0,17.0,11.37
Schinkelbuurt,KB,32.6,43.0,24.4,41.0,97.0,50.0,7.6,40.0,26.0,5.21
Willemspark,KC,9.7,44.5,45.8,59.0,78.0,61.0,7.9,47.0,19.0,23.45
Museumkwartier,KD,4.1,59.0,36.9,40.0,186.0,72.0,7.7,52.0,11.0,12.65
Oude Pijp,KE,26.2,51.0,22.8,56.0,91.0,51.0,7.5,26.0,31.0,4.85
Nieuwe Pijp,KF,30.0,45.0,25.0,55.0,86.0,57.0,7.3,31.0,24.0,0.73
Zuid Pijp,KG,69.2,17.4,13.4,44.0,64.0,56.0,6.9,25.0,23.0,1.82
Stadionbuurt,KH,48.0,36.0,16.1,44.0,109.0,57.0,7.5,36.0,17.0,8.81
Apollobuurt,KJ,1.6,46.8,51.6,49.0,108.0,72.0,7.7,60.0,7.0,6.33
Scheldebuurt,KK,16.3,56.1,27.5,50.0,91.0,57.0,7.9,47.0,14.0,10.52
IJselbuurt,KL,43.8,40.6,15.6,45.0,78.0,51.0,7.0,31.0,23.0,5.2
Rijnbuurt,KM,38.3,41.5,20.2,48.0,73.0,52.0,7.6,35.0,18.0,28.38
Zuidas,KP,4.7,77.3,18.1,58.0,109.0,61.0,7.6,69.0,6.0,16.65
Buitenveldert-West,KQ,25.0,37.3,37.7,46.0,80.0,64.0,7.7,59.0,6.0,32.96
Buitenveldert-Oost,KR,27.9,40.7,31.4,51.0,81.0,71.0,7.6,59.0,5.0,39.38
Oostelijk Havengebied,MA,31.3,29.9,38.9,61.0,60.0,67.0,7.7,66.0,4.0,4.51
Weesperzijde,MB,26.1,38.1,35.8,51.0,170.0,55.0,7.5,35.0,21.0,9.99
Oosterparkbuurt,MC,56.2,19.7,24.1,41.0,149.0,53.0,7.1,31.0,28.0,17.56
Transvaalbuurt,MD,58.7,18.5,22.9,55.0,76.0,57.0,6.8,27.0,23.0,6.3
Dapperbuurt,ME,56.3,18.7,24.9,57.0,100.0,61.0,6.6,23.0,27.0,8.53
Indische Buurt-West,MF,53.7,20.0,26.4,50.0,69.0,46.0,7.0,29.0,24.0,2.59
Indische Buurt-Oost,MG,65.4,13.6,21.0,56.0,118.0,55.0,6.8,24.0,23.0,29.21
Zeeburgereiland/Bovendiep,MH,37.1,43.6,19.3,65.0,106.0,56.0,7.8,46.0,14.0,28.24
IJburg-West,MJ,31.4,22.7,46.0,48.0,77.0,65.0,7.1,45.0,15.0,5.49
IJburg-Zuid,ML,33.3,22.4,44.3,38.0,80.0,67.0,6.6,37.0,23.0,11.65
Frankendael,MM,49.4,34.2,16.4,46.0,138.0,55.0,7.5,46.0,14.0,25.89
Middenmeer,MN,32.7,30.8,36.4,53.0,61.0,56.0,7.7,58.0,7.0,29.1
Betondorp,MP,79.5,3.7,16.8,45.0,95.0,67.0,7.5,51.0,11.0,43.98
Omval/Overamstel,MQ,2.7,83.0,14.3,55.0,136.0,59.0,7.5,39.0,21.0,39.73
Noordelijke IJ-oevers-West,NB,20.5,61.2,18.3,45.0,148.0,57.0,7.1,45.0,22.0,9.67
Tuindorp Oostzaan,NC,64.0,4.3,31.7,32.0,57.0,77.0,7.1,45.0,14.0,22.55
Kadoelen,ND,30.8,4.4,64.8,21.0,91.0,86.0,7.2,49.0,4.0,33.75
Banne Buiksloot,NE,60.9,9.3,29.8,39.0,88.0,69.0,6.6,27.0,37.0,36.73
Elzenhagen,NG,51.0,15.6,33.4,42.0,129.0,71.0,7.4,48.0,20.0,33.05
Buikslotermeer,NH,59.0,11.5,29.5,39.0,148.0,63.0,6.8,27.0,34.0,35.48
Waterlandpleinbuurt,NJ,50.8,18.0,31.3,38.0,114.0,65.0,6.3,23.0,32.0,38.34
Volewijck,NK,79.6,7.2,13.2,42.0,107.0,73.0,6.7,24.0,25.0,22.39
IJplein/Vogelbuurt,NL,72.5,8.3,19.2,47.0,97.0,51.0,6.8,22.0,27.0,32.99
Waterland,NQ,3.9,18.3,77.8,21.0,165.0,82.0,7.7,65.0,4.0,48.44
Driemond,SA,36.6,5.2,58.2,42.0,67.0,80.0,7.6,57.0,6.0,59.32
Nellestein,TK,19.2,39.8,41.1,40.0,139.0,76.0,7.0,59.0,8.0,47.68
Gein,TM,45.2,14.6,40.2,37.0,101.0,71.0,7.0,36.0,14.0,47.53
